coursecategory,timespentoncourse,numberofvideoswatched,numberofquizzestaken,quizscores,completionrate,devicetype,coursecompletion
0,36.15818831626328,11,4,92.99504451915809,38.79256753735103,1,1
0,93.8607986804902,4,7,84.9478703502393,50.07656288003105,1,0
1,59.49632037445159,1,10,53.77946163513258,29.51732752715919,1,0
4,33.11938463487156,11,9,67.31472810141982,81.94937898564864,1,1
0,3.356798282575958,18,2,73.98281249937983,76.30678613498885,0,0
0,16.018954934885944,5,3,78.31546522828148,58.14768335421024,1,1
3,30.50620975634424,13,3,77.73009218893688,73.24874359053992,1,1
2,93.75797613696083,11,5,73.43541497914916,11.832285155225698,0,1
0,19.671294195887608,2,4,95.23321460569063,37.35124070664491,1,0
4,6.994673367884799,12,10,71.23054938911004,21.32907023759415,1,0
0,29.185098919868,13,0,86.45694748476237,12.095744346586844,0,0
4,72.51497725564705,18,3,56.5111732759795,43.79468106321828,0,0
0,53.13289931638914,10,2,85.42571276294193,71.81642457683691,0,1
3,72.24672863407444,13,8,79.65791476564921,87.40023281042775,1,1
3,27.91421194586566,12,2,62.74921795298175,44.7507492074815,1,0
3,97.31280386632396,13,5,67.49888417111893,10.238124194339647,0,0
1,94.8940903986078,10,3,84.51899473146182,27.608672842124705,1,0
1,38.17422689084048,0,7,68.25789271326133,94.95314606862236,1,0
2,47.79798296499262,16,6,99.45658031548152,72.3646022842546,1,1
1,92.25094027571448,10,7,58.9871575793124,35.77520503273558,0,0
2,20.614943440534127,0,3,64.90926870443323,95.10628096842508,1,0
0,55.85177996256086,8,9,95.50051605301778,22.944626993410555,1,1
4,26.53601117190316,18,1,69.06431323729844,79.48989106144786,0,0
2,63.38837133640267,6,6,78.20733735815587,36.03171920258424,0,1
2,66.87507447118715,4,5,93.6114584867073,98.437621146655,0,1
3,72.10556150314714,12,8,91.65622690799164,4.445659843011873,1,1
4,44.97174815893753,9,10,99.58943237206655,41.47876453072497,0,1
2,34.08731404370523,20,8,50.56695291171948,51.3873248116503,0,0
3,7.052625371210137,15,10,58.74270038427077,61.23584171610206,1,1
4,40.51182065618518,7,7,84.13661667109162,43.141739931961865,1,1
0,17.200542291464448,2,7,66.77819237505666,13.70781674983208,0,0
0,90.64140052160415,12,5,95.3946814243713,37.08997504932074,0,1
0,29.205953681134748,11,8,59.94863592874982,26.389538577120387,1,0
0,5.621797170028102,2,6,67.8544748882983,38.95945439924871,0,0
1,53.19525040843919,19,4,92.03606429977054,99.02767116879038,1,1
4,74.34012710854168,8,1,83.6747517343513,29.41981051726908,0,0
3,21.904645705760768,4,6,72.78852150289683,55.7168526535654,1,0
1,71.89325476650619,9,3,58.93807921820053,60.45784784843784,1,0
3,67.46543288078277,13,8,55.07779429753203,60.1334231177981,1,1
0,2.521258822737608,3,3,88.35124117829,42.316143260453,1,0
1,39.18750046208349,1,10,53.44504405492631,55.96779562290756,1,0
1,66.97623480074239,13,5,99.838976210468,25.091146752915023,1,1
3,54.845475952771466,6,8,59.34831530318564,40.965440746558144,1,0
3,4.680353516914952,11,0,75.96922505092694,37.56351059883871,1,0
4,29.703772272575407,14,1,90.85540563383856,51.04807967433951,1,0
4,56.49339588926032,7,4,84.4213026160467,14.091570976250669,1,1
0,88.05284426724094,8,7,92.2185560098548,26.86475055537253,1,1
0,50.08816307929838,2,7,82.25019297629314,83.64073321041747,1,1
3,36.517395179147634,11,2,60.5136766813182,83.12990345058597,0,0
2,88.92961312745989,1,9,95.6782898136151,30.439877969056,1,0
1,15.77753325425548,13,9,70.736997823861,27.065683689045283,0,0
0,57.82219023266134,4,3,98.15023385652948,10.608243080344714,0,0
2,52.4889038229776,16,3,62.17535079756498,82.75687695768455,0,0
0,41.64175565079136,9,3,95.8894954855692,38.0898352391083,1,0
2,82.11404147758725,1,7,84.58316153723598,0.8178706992683527,0,0
2,67.59222520380474,4,5,94.58274533701312,31.42454953930985,0,0
1,60.8216920827056,19,9,59.43335415088936,10.76135614747109,0,0
2,78.79243288898168,13,1,58.64519955347364,51.15574331724856,1,0
1,52.685283542595975,0,3,76.5487767453294,23.811752839589563,1,0
2,67.53635467000025,3,4,78.37931924431625,74.7676996999029,1,1
1,9.220837023208457,14,10,86.84137701138116,41.426327834121054,1,0
1,70.17396544668404,5,4,74.04774800258863,50.97493520925303,1,0
2,77.91769245085959,15,0,83.86421622326522,8.983253916563793,1,0
0,72.72158190188976,5,5,72.18596247683395,44.31875408939061,1,0
3,63.567143069015415,10,10,63.309164764049726,12.83318260029005,0,0
0,82.09472513741159,3,0,58.63880748469572,37.96588710448074,0,0
0,36.74834985772623,13,5,78.96654033351574,22.96475666744733,1,1
1,96.98312580907668,9,2,54.92540481109469,55.34991383184398,1,0
1,53.45768692630241,12,10,94.16400657560064,69.4385164354344,0,1
1,32.24970907125008,9,10,81.87908546437244,38.83697797561092,1,1
4,99.88563789127848,17,5,77.34289963021425,26.268906752622268,1,1
4,87.77207569564918,15,2,97.16171816333213,26.24624102500749,0,0
1,3.462712319445939,16,9,50.60346736292031,87.20039132290405,1,0
0,12.148107754891868,2,6,86.49536672495742,11.190001929607009,1,0
2,97.5787761786714,1,4,60.99856243077068,77.50975577888833,1,0
2,40.31809749434911,20,7,79.7115012574209,77.4131395527919,0,1
1,35.46145920327953,0,2,80.75678455834742,88.84636920215218,0,0
2,3.5549096509318767,16,0,65.39407865302266,98.48378959075151,1,0
0,22.07881127482626,15,9,89.21920440859876,87.46896640735626,1,1
1,7.448586628418697,4,3,78.66814066549205,95.82665063990228,1,0
3,85.41394915707035,8,8,64.97135740634761,38.16133053517159,1,0
2,77.98661439809122,19,0,69.96097706141649,98.30815423027856,1,0
1,22.94308414713836,8,9,56.33661911324496,47.15676644814424,1,0
2,65.90026154431753,0,2,51.171577444451465,17.729675611124897,0,0
2,61.875398442126674,10,1,98.84298239064772,40.41541582269905,0,0
0,16.670339349850707,1,3,62.727724637285945,99.1501438534984,0,0
0,90.68956576518886,9,9,67.71369819771175,83.6153679815257,1,1
0,69.85208481471867,9,4,55.32568170412193,27.451197504263423,1,0
0,10.193087821408604,17,3,71.38323183564901,37.717422549608216,1,0
1,4.1538194902977486,0,9,83.28947805160055,97.694894510792,0,0
4,94.68458102163036,1,10,76.8268161657978,89.97905592418326,0,1
0,82.88865669433471,6,7,98.73495063542398,48.06154792611322,1,1
4,98.025142354672,16,10,70.63144512577284,26.086152319100066,0,1
4,35.49931960376988,10,2,58.39443278916002,50.72566095404491,0,0
3,81.76626425150423,6,7,84.17395034962118,10.50587566999982,0,1
3,55.72199731207364,15,1,74.14551091751481,29.150966172510262,0,0
2,21.776603050633,11,0,74.3189033334026,96.87041926920575,0,1
2,20.381736029900484,18,2,73.69603887438828,26.535504589117625,0,0
3,83.85585545161774,8,8,93.99360852975464,35.979810659683494,1,1
0,35.59793783372993,2,4,67.4580704976022,26.96488074421417,0,0
2,25.23636139712942,1,10,58.17643606957017,94.05862283227772,0,1
3,75.99347245903209,13,10,68.28745890507278,19.58635523057447,0,0
3,54.294310828981295,7,9,87.45634261562063,84.66464964769669,0,1
4,94.48234980589952,15,7,50.274597491978334,46.64742903256786,0,0
0,12.630113988772797,15,6,57.5490249272618,49.82919524093818,0,0
3,8.911595825314066,10,9,82.13307042001885,63.52326508422617,1,1
2,95.11056569954614,12,2,93.14385119812772,55.37401003296431,0,0
0,73.81654987356454,18,8,91.18932113408196,13.135723986484129,1,1
0,24.58797892065307,17,10,93.13254709392152,1.175651992717608,1,1
2,50.13321742456333,2,3,82.23159267557492,36.01804882530869,1,0
4,84.85419150351927,10,5,59.770483032680495,90.84748660637425,0,1
2,48.17183757767177,11,4,77.6050422205115,22.91555067173532,0,1
4,82.39610767585665,9,0,95.42099810904244,98.89651268464542,0,0
2,97.25372037242936,4,0,81.12510898912635,69.21760348559155,0,0
2,42.0698381798579,0,8,76.98472221645974,89.44034693509627,1,1
2,84.33906219385307,16,8,53.65593642568698,16.429475899142997,0,0
0,32.233431441740166,16,9,81.33947704232978,71.55269386946938,1,1
1,62.13817400775223,20,7,67.83036890017664,10.441421412980922,0,0
2,77.07831177074925,20,6,51.33346020099116,91.78897556049724,1,1
4,48.91985508255699,9,3,61.42152513080815,26.46980233043521,1,0
2,76.31936550385407,0,9,67.50921915957028,9.35509826226042,1,0
0,76.81264497885671,7,10,69.24602722804568,13.083402100775457,1,0
3,93.81507268919871,5,2,54.02666286530141,48.3803128764863,0,0
3,39.16157303527381,4,3,95.4021718241047,71.24572423244332,1,0
3,66.52985528563471,7,5,85.4731151936458,73.79874356160046,0,1
3,2.085401660022792,19,8,50.16812535804463,22.63684044305243,1,0
2,64.4482748188835,12,2,66.92256431083293,46.62275502670957,1,0
2,24.70938274244286,10,6,96.8717959398407,32.27252430705603,1,1
4,55.97106893818608,2,7,80.72671645140272,23.33379777272544,1,0
1,47.43697368189421,15,9,81.00687120559478,55.69651924332437,0,1
2,95.1100307864074,1,4,88.70984204729496,49.3779291995931,1,0
2,11.746980419492198,6,8,92.00336198255675,54.90068746898808,0,0
4,30.086400852735235,9,2,53.57472887345106,2.1267996310289305,1,1
4,53.46001840469575,2,8,94.66338076511076,78.02020643784998,0,1
3,21.990757199720665,6,8,68.94135931726696,37.40605749191742,0,0
2,34.55802269110932,1,4,96.87589689901344,52.79550298088507,1,0
2,71.83508950749174,0,7,94.068102211695,95.01763379053764,0,1
3,68.34112372243312,12,10,73.55126398583825,36.00093471331112,1,1
4,87.76567341684478,9,4,90.68707414359494,89.35054154888181,1,1
4,66.70970170869991,2,8,64.44811236721196,66.3988227663852,1,0
1,39.77498774500208,17,6,60.35772491456339,68.55569393226935,0,1
2,94.18464735358712,6,1,65.0298947588928,10.851982880567467,1,0
2,32.95863527367048,0,6,99.04417476872706,33.373530400703,1,0
1,51.90651027325134,18,3,53.260885272579216,65.8445402900277,0,0
0,76.02678300031464,15,10,85.90533843777084,26.565514263911737,0,1
2,39.94193103602842,3,0,59.52325822297565,38.58147248085042,0,0
2,89.51140591518477,19,4,70.7479396043885,30.307521269556247,0,1
3,60.90205409033663,4,10,82.14312822325681,48.55033088212269,1,0
3,27.88181480794175,3,1,52.77961905408724,11.078412863213927,1,0
2,57.99925826851074,17,7,62.12322954669079,83.25082785999604,1,1
0,28.410181179550506,8,4,77.84227562677987,2.157140441344707,0,1
1,51.14882777226035,8,6,73.68345063418505,65.53632525265715,1,1
1,46.34862696821624,6,1,88.53406934847573,9.350134560345424,0,0
2,58.130666820544775,4,1,76.57506342431925,89.23592695622786,1,0
2,24.18524813606448,19,6,69.90873760449782,77.10867921869765,1,1
0,85.11041732326335,17,4,97.8713667634596,51.62317952513887,0,1
3,9.831449322879418,3,8,78.03751727937313,73.19018142586063,1,0
2,22.79087317189719,15,1,72.09776008125482,30.19474278361092,1,0
3,20.80088319016201,20,2,99.0628414597102,3.7111401960042367,1,0
4,29.557376691394712,0,1,61.97880712028058,67.69974884838197,1,1
2,94.76166715057998,5,0,77.58389513706297,38.1671427660692,0,0
3,91.60993651904508,4,3,91.24589213874305,27.28866083367768,1,0
3,43.935996377589,10,7,81.19236706974507,31.00183697437732,1,1
3,63.41175306872339,19,3,50.274914375137776,96.1064069758118,0,0
3,89.0101722170769,15,5,92.36412295948182,69.46472486671068,1,1
4,63.3061393202649,3,9,76.82817566200663,44.34120663824598,0,0
1,81.46055752616326,9,3,81.31324020376665,56.190299835494905,1,0
0,8.020702952418382,3,8,85.97901267727933,64.84819968287113,1,0
4,29.2444743681326,3,2,90.52914641554366,98.1298104642211,0,0
2,39.80613017778905,10,6,68.9875201543935,21.452204705590205,1,1
2,67.28035907851876,18,0,64.3703365709369,74.22757100941077,0,0
4,7.79149750461942,9,5,90.0455348580411,69.10303369320829,1,1
0,76.60105621979876,17,6,70.30595229828882,77.62776907787277,1,1
1,82.05506105501055,19,8,83.40364102078176,69.41856780972648,0,1
3,4.187445786646349,0,9,99.23243436167768,94.0541546218728,1,1
1,84.15982410115035,8,2,77.60106143478461,80.8477032722368,1,1
4,86.52964493853553,4,0,83.39002703586527,54.49979511806842,1,0
1,57.62628584905725,10,8,53.558092067395066,99.15907316789048,1,0
0,28.166850531932493,14,7,79.17151609877482,7.757410458425474,0,1
2,36.36695484884349,15,3,82.04960984691095,8.042548317316278,0,0
1,41.06072042320647,10,5,83.31710578333957,54.335702047180575,0,1
2,52.495862079415176,9,8,86.10391212747692,1.6828930711486834,0,1
4,33.21640978757817,15,2,68.86910119692122,49.86436813731881,0,0
4,19.602455291043235,20,1,53.29329955835711,30.433073582271863,1,0
0,5.172891279330486,18,9,98.75703028399091,51.2458098726669,1,0
0,55.213586430138136,19,8,74.25642559786698,54.89548920048773,0,1
2,92.97855966542556,0,9,56.00133291558844,16.73913304309156,0,0
3,42.95701033218385,20,1,85.22072073173324,48.38849106970561,1,0
0,17.80081867636925,3,1,60.05883768857818,70.71619362811306,1,0
4,87.25601785412206,3,5,71.68134637292401,87.4978254346539,0,1
0,74.08346321349566,18,8,52.41902768932981,76.2016272711528,1,1
